Date,Open,High,Low,Close,Adj Close,Volume
2016-11-14,236.461533,237.307693,234.538467,234.692307,216.659348,4906265
2016-11-15,234.461533,236.692307,232.615387,236.538467,218.363647,5224180
2016-11-16,235.769226,236.769226,234.923080,236.461533,218.292633,3284554
2016-11-17,236.153839,237.461533,235.846161,236.846161,218.647690,2318433
2016-11-18,236.538467,237.692307,234.769226,235.923080,217.795532,3715907
2016-11-21,236.076920,237.538467,235.230774,237.461533,219.215790,2877719
2016-11-22,237.923080,240.307693,237.538467,239.846161,221.417191,3603769
2016-11-23,240.307693,241.384613,239.846161,241.076920,222.553391,3155503
2016-11-25,241.923080,242.230774,240.692307,241.846161,223.263550,1710995
2016-11-28,241.000000,241.769226,240.076920,240.384613,221.914276,2872051
2016-11-29,240.615387,241.153839,238.307693,238.846161,220.494034,4085081
2016-11-30,239.846161,240.538467,236.538467,236.615387,218.434662,5932797
2016-12-01,235.692307,242.000000,235.538467,241.461533,222.908417,5811260
2016-12-02,241.230774,242.230774,240.461533,241.076920,222.553391,2782130
2016-12-05,241.769226,241.923080,238.923080,239.307693,220.920105,2877979
2016-12-06,239.923080,240.307693,238.538467,239.769226,221.346130,2284529
2016-12-07,238.538467,243.076920,237.923080,243.076920,224.399704,4276610
2016-12-08,243.076920,243.846161,241.538467,242.538467,223.902618,3658863
2016-12-09,241.923080,245.538467,241.153839,244.461533,225.677948,4059562
2016-12-12,243.615387,246.076920,243.538467,245.076920,226.246033,4035291
2016-12-13,245.384613,246.153839,243.153839,244.153839,225.393845,4485052
2016-12-14,243.153839,246.000000,241.846161,242.307693,223.689590,5677789
2016-12-15,242.230774,245.769226,239.461533,240.461533,221.985229,5639062
2016-12-16,242.461533,245.153839,242.000000,244.230774,225.464890,9356906
2016-12-19,244.307693,246.153839,243.923080,245.538467,226.672089,4543734
2016-12-20,245.538467,249.076920,245.461533,248.076920,229.015503,5176366
2016-12-21,247.692307,248.000000,246.538467,247.153839,228.163376,3635411
2016-12-22,245.461533,245.769226,244.461533,244.769226,227.662552,3145194
2016-12-23,245.153839,245.692307,244.384613,245.230774,228.091843,1948518
2016-12-27,245.307693,246.538467,245.000000,245.384613,228.234940,2035267
2016-12-28,244.923080,245.923080,243.615387,243.846161,226.804001,2455141
2016-12-29,244.153839,245.230774,243.846161,243.923080,226.875549,2091973
2016-12-30,243.307693,244.615387,242.384613,243.076920,226.088501,3309176
2017-01-03,243.615387,244.923080,241.538467,243.769226,226.732422,4179435
2017-01-04,244.230774,244.846161,243.230774,243.846161,226.804001,2787577
2017-01-05,242.846161,244.230774,240.846161,242.461533,225.516129,3361384
2017-01-06,242.923080,244.384613,241.230774,243.153839,226.160095,2875704
2017-01-09,243.384613,243.538467,241.769226,242.000000,225.086853,2764125
2017-01-10,242.000000,243.230774,241.307693,241.307693,224.442932,3536325
2017-01-11,240.307693,242.461533,240.307693,242.076920,225.158386,3690063
2017-01-12,241.923080,242.076920,239.461533,241.461533,224.586014,3889093
2017-01-13,241.230774,241.923080,240.384613,241.230774,224.371399,3162094
2017-01-17,239.769226,241.923080,239.692307,240.538467,223.727478,3747549
2017-01-18,240.076920,241.076920,239.461533,240.230774,223.441269,3211182
2017-01-19,240.384613,241.076920,238.846161,240.076920,223.298172,4900727
