Date,Open,High,Low,Close,Adj Close,Volume
10/19/2017,33,34,29.1,32.07,32.07,11508500
10/20/2017,33.369999,33.369999,30.1,30.68,30.68,2358700
10/23/2017,30.51,31.33,30.190001,30.5,30.5,749400
10/24/2017,30.459999,30.92,30.438999,30.57,30.57,420700
10/25/2017,30.5,31.1,29.879999,31,31,1219400
10/26/2017,31.68,31.73,30.729,31.1,31.1,605200
10/27/2017,31.01,31.290001,30,30.889999,30.889999,549500
10/30/2017,30.690001,30.690001,29.59,29.85,29.85,727800
10/31/2017,29.799999,30.68,29.799999,30.48,30.48,318100
11/1/2017,30.370001,30.57,29.702,29.799999,29.799999,432000
11/2/2017,29.719999,30.459999,29.660999,29.950001,29.950001,313400
11/3/2017,29.889999,30.17,29.35,29.629999,29.629999,229200
11/6/2017,29.629999,30.719999,29.360001,30.610001,30.610001,304800
11/7/2017,30.610001,30.889999,29.709999,29.809999,29.809999,279000
11/8/2017,29.690001,29.99,29.41,29.879999,29.879999,241300
11/9/2017,29.700001,29.9,29.01,29.219999,29.219999,204700
11/10/2017,29.16,30.26,29.16,30.200001,30.200001,137500
11/13/2017,29.65,31.110001,29.297001,30.68,30.68,296200
11/14/2017,30.68,30.700001,29.695,29.879999,29.879999,124400
11/15/2017,29.76,30.106001,29.57,29.629999,29.629999,176000
11/16/2017,29.690001,30.32,29.690001,29.870001,29.870001,140700
11/17/2017,29.98,30.129999,29.59,29.83,29.83,89800
11/20/2017,29.870001,29.931,29.075001,29.26,29.26,292400
11/21/2017,29.25,29.49,29.01,29.209999,29.209999,242200
11/22/2017,29.389999,29.559999,29.200001,29.280001,29.280001,225400
11/24/2017,29.309999,29.99,29.25,29.92,29.92,81200
11/27/2017,29.950001,29.950001,29.07,29.690001,29.690001,171400
11/28/2017,29.809999,30,29.51,29.549999,29.549999,153300
11/29/2017,29.389999,29.57,28.5,28.709999,28.709999,679700
11/30/2017,28.799999,29.030001,28.41,28.530001,28.530001,198100
12/1/2017,28.530001,28.6,27.52,27.799999,27.799999,229200
12/4/2017,28.120001,28.252001,27.26,27.360001,27.360001,170600
12/5/2017,27.309999,27.309999,25.860001,26.15,26.15,392800
12/6/2017,26,27.1,25.690001,26.870001,26.870001,400100
12/7/2017,26.889999,27.49,26.530001,26.620001,26.620001,244100
12/8/2017,26.77,26.905001,25.620001,25.76,25.76,295800
12/11/2017,25.77,27,24.620001,26.860001,26.860001,706900
12/12/2017,27.15,29.1,26.57,29,29,1164700
12/13/2017,27.49,28.889999,26.360001,27.35,27.35,710100
12/14/2017,27.530001,28.6,27.15,28.129999,28.129999,401100
12/15/2017,28.280001,29.690001,27.049999,29.42,29.42,795500
12/18/2017,29.5,29.5,28.110001,28.299999,28.299999,276400
12/19/2017,28.26,28.49,27.530001,28.049999,28.049999,203600
12/20/2017,28.290001,29.98,27.934999,29.5,29.5,410700
12/21/2017,29.610001,29.610001,28.5,28.68,28.68,162600
12/22/2017,28.559999,29.290001,28.030001,28.450001,28.450001,182900
12/26/2017,28.42,29.062,28.42,28.799999,28.799999,84000
12/27/2017,28.860001,29.459999,28.76,29.1,29.1,190600
12/28/2017,28.969999,30.49,28.530001,30.24,30.24,482500
12/29/2017,30.35,30.389999,29.52,29.68,29.68,324600
1/2/2018,29.93,30.08,28.855,29.25,29.25,231600
1/3/2018,29.309999,29.42,28.940001,29.15,29.15,256700
1/4/2018,29.290001,29.49,28.9,29.049999,29.049999,198900
1/5/2018,29.09,29.135,28.59,29.049999,29.049999,205600
1/8/2018,29.09,29.09,28.209999,28.809999,28.809999,205400
1/9/2018,28.870001,28.92,28.540001,28.790001,28.790001,88400
1/10/2018,28.700001,28.99,28.200001,28.870001,28.870001,162400
1/11/2018,28.809999,29.860001,28.799999,29.610001,29.610001,219000
1/12/2018,29.5,29.950001,28.754,29.280001,29.280001,108500
1/16/2018,29.459999,29.870001,28.969999,29.059999,29.059999,169500
1/17/2018,29.200001,29.59,29.200001,29.530001,29.530001,160500
1/18/2018,29.469999,29.643999,28.841,29.08,29.08,108000
1/19/2018,28.860001,29.49,28.610001,29.120001,29.120001,224000
1/22/2018,29.129999,29.4,28.34,28.809999,28.809999,131000
1/23/2018,28.68,29.139999,28.58,28.83,28.83,87500
1/24/2018,29,29,27.559999,28.17,28.17,277400
